Word(s),Spoken Form (If Different)
jank
janky
mech
admin
VPN
DNS
OCR,ossia
chezmoi,chemoy
Njörðr,niortha
mjölnir,meol near
Minecraft
eleventy,eleven ty
fediverse,fedda verse
